name;email;phone;[categories];wantsAdvertise
Kartagena Kubicz;domik@hotmail.com;789956632;Astrology,Meditation;true
Merche Aguado;helloworld@hotmail.com;209956632;TraditionalBuddhism;false
Merche Rios;tequeremos@hotmail.com;789156632;Reincarnation;true
Israel Amando;amigosdelcorazon@hotmail.com;409956632;Health;false
Joan Camarelles;domik@hotmail.com;389956632;Nature;true
Luisa Cuadrado;helloworld@hotmail.com;609956632;Other;false
Paz Padilla;lunes@hotmail.com;789955532;Astrology;true
Chistian Sanchez;manana@hotmail.com;229956632;Meditation,Health,Nature;false
Ramon Perez;ayer@hotmail.com;789956422;TraditionalBuddhism;true
Jorge Vazquez;cantimplora@hotmail.com;203356632;Meditation,Nature;false
Isabel Moncho;erestu@hotmail.com;789936612;Astrology;true
Jaime Molines;soyyo@hotmail.com;149956232;TraditionalBuddhism,Health;false
Carolina Ripoll;somostodos@hotmail.com;339956632;Astrology;true
Carlos Cervera;erestu@hotmail.com;200956632;Reincarnation,Other;false
Katalina Bator;michaeljack@hotmail.com;789956002;TraditionalBuddhism,Health;true
Daria Rybka;beauty123@hotmail.com;209006632;Meditation,Nature;false
Olivia Schopka;losamigos987@hotmail.com;709956632;Reincarnation,Other;true
Kragena Novak;problemas@hotmail.com;202956632;Meditation;false
Julia Kovalska;soluciones@hotmail.com;780006632;Astrology;true
Sebastian Kacheinski;paralelo@hotmail.com;204562632;TraditionalBuddhism;false
Dimitri Kalavnikov;pomodoro@hotmail.com;789956222;Meditation;true
Jakub Sawaseninski;byeworld@hotmail.com;222956632;Reincarnation;false
Guukash Subbushefski;patitofeo@hotmail.com;789906002;Astrology;true
Giswaf Geonva;patitobonito@hotmail.com;209900000;TraditionalBuddhism,Health;false
Julian Muñoz;malapersona@hotmail.com;780000632;Meditation;true
Chisko Yagoda;foryou@hotmail.com;299996632;TraditionalBuddhism;false
Penelope Cruz;forme@hotmail.com;789956992;Meditation,Health;true
Kimmy Possible;therest@hotmail.com;299999632;Astrology;false
Algélica Jolie;ofhuman@hotmail.com;78654632;Reincarnation;true
Piotr Oshalawy;race@hotmail.com;266956632;Meditation;false
Anna Duda;monday@hotmail.com;789956123;Reincarnation,Health,Other;true
Kseña Judgeeskiveitx;tuesday@hotmail.com;209956456;Astrology;false
Javier Vardem;wednesday@hotmail.com;789956789;Meditation,Other;true
Glleggosh Faliusiava;thursday@hotmail.com;209956101;Health;false
Clotilda Swovachka;friday@hotmail.com;786622202;TraditionalBuddhism,Nature;true
Adam Michkievich;saturday@hotmail.com;567856963;Astrology,Nature;false
Maugojata Tripka;sunday@hotmail.com;783336632;Meditation;true
Joanna Shorish;january@hotmail.com;296352632;Health;false
Monica Semankievich;february@hotmail.com;789999632;Astrology;true
Matilda Ligansda;march@hotmail.com;209902632;TraditionalBuddhism,Nature;false
Alexsandra Wajmenviac;april@hotmail.com;789903632;Nature;true
Miruosava Espurna;may@hotmail.com;90256632;Meditation,Health,Nature;false
Elsvietta Giovaska;june@hotmail.com;789656532;Astrology,Nature,Other;true
Justina Rubert;july@hotmail.com;20995663;Nature;false
Anacstasi Kshovski;august@hotmail.com;78995222;TraditionalBuddhism,Health;true
Antonio Banderas;september@hotmail.com;208856632;Nature;false
Voitech Monday;october@hotmail.com;789956632;Reincarnation;true
Andrei Dosantos;november@hotmail.com;200056632;Meditation,Nature;false
Magena Wash;december@hotmail.com;789956001;Meditation,Other;true
Suovomir Mrogek;enero@hotmail.com;300956632;TraditionalBuddhism,Health;false
Wadisvaf Miakiinki;febrero@hotmail.com;500956632;Reincarnation,Health;true
Lilo Stich;marzo@hotmail.com;562356632;Nature;false
Shawn Mendes;abril@hotmail.com;733956632;Astrology;true
Sheniesko Wenska;mayo@hotmail.com;209038632;TraditionalBuddhism;false
Willy Wonka;junio@hotmail.com;789956002;Meditation,Health;true
Isabela Weulska;julio@hotmail.com;209695832;Other;false
Pantadeuch Coixustu;agosto@hotmail.com;732568632;Astrology,Health;true
Teorina Chiovana;septiembre@hotmail.com;629956632;Other;false
Zenon Shiemvebitx;remethebest@hotmail.com;989956632;Meditation;true
Sofia Nocofsca;welovereme@hotmail.com;559956632;TraditionalBuddhism,Other;false
